file,segment,width,hits_MDM,hits_SYS,hits_COMM_ENERGY,hits_APPS,hits_JOURNAL,hits_EXT,hits_VENDORS,hits_VULN,hits_FLAME,hits_TAMPER_JP,windows
JetsamEvent-2025-06-01-130516.ips,tail,198888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,198888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,202222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,202222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,202222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,202222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,205555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,205555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,205555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,205555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,208888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,208888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,208888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,208888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,212222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,212222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,212222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,212222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,215555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,215555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,215555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,215555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,218888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,218888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,218888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,218888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,222222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,222222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,222222,1,4,4,0,1,2,0,0,2,0,1
